epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3466,1.01344,2.68043,1.20983,0.91895,0.44814,0.74861,0.50713,0.95364,2.73366,1.172,0.000652482,0.000652482,0.000652482
2,24.0468,1.15495,2.13171,1.27247,0.83223,0.68624,0.75656,0.52919,0.99794,2.27848,1.23406,0.00129303,0.00129303,0.00129303
3,34.1893,1.17004,2.01274,1.31146,0.88827,0.72271,0.80746,0.58006,1.15645,2.21455,1.41744,0.00190718,0.00190718,0.00190718
4,44.3486,1.30249,1.98511,1.39029,0.87488,0.69096,0.8128,0.54944,1.15135,2.78664,1.41935,0.0018812,0.0018812,0.0018812
5,54.3677,1.21436,1.89983,1.37587,0.74797,0.73913,0.76089,0.53469,1.09244,2.20465,1.27886,0.0018416,0.0018416,0.0018416
6,64.3766,1.21202,1.74745,1.29836,0.7413,0.74308,0.76243,0.54521,1.08713,2.33186,1.28652,0.001802,0.001802,0.001802
7,74.4632,1.17558,1.60812,1.30736,0.82214,0.70356,0.80622,0.56659,1.02904,1.79508,1.27586,0.0017624,0.0017624,0.0017624
8,84.6117,1.08608,1.51472,1.23348,0.81409,0.66008,0.78714,0.58463,0.99481,1.98309,1.22521,0.0017228,0.0017228,0.0017228
9,94.8912,1.1049,1.45063,1.25238,0.85592,0.77866,0.85917,0.6625,0.85411,1.71337,1.14397,0.0016832,0.0016832,0.0016832
10,105.334,1.08975,1.46063,1.24945,0.86661,0.74473,0.84834,0.66816,0.90173,1.45999,1.19513,0.0016436,0.0016436,0.0016436
11,115.718,1.05891,1.39567,1.23121,0.84761,0.74749,0.81019,0.60858,0.90598,1.48902,1.21659,0.001604,0.001604,0.001604
12,126.014,1.04815,1.33262,1.23465,0.88989,0.82213,0.8971,0.69169,0.83843,1.37895,1.1415,0.0015644,0.0015644,0.0015644
13,136.312,1.02327,1.39583,1.19462,0.93238,0.79842,0.89473,0.68289,0.91375,1.20409,1.16732,0.0015248,0.0015248,0.0015248
14,146.533,1.01341,1.26882,1.18224,0.95289,0.81028,0.92532,0.73848,0.79003,1.03761,1.09257,0.0014852,0.0014852,0.0014852
15,156.748,1.04755,1.18431,1.22659,0.93005,0.84585,0.9296,0.7361,0.79502,1.00531,1.094,0.0014456,0.0014456,0.0014456
16,167.043,0.99019,1.20114,1.22398,0.91646,0.8419,0.91895,0.73472,0.78648,1.02257,1.09797,0.001406,0.001406,0.001406
